utc_date,local_time,hour_category,part_of_the_day,magnitude,magnitude_unit,magnitude_category,depth_(km),depth_category,location,latitude,longitude,url
2023-06-05,17:06:09,17:00 - 18:00,Later Hours,3.6,Ml,3-3.9,91,intermediate,33 km al E de Tierra Amarilla,-27.584,-69.949,https://www.sismologia.cl/sismicidad/informes/2023/06/199613.html
2023-06-05,16:47:50,16:00 - 17:00,Later Hours,2.7,Ml,<3,51,intermediate,27 km al N de Pichilemu,-34.147,-72.058,https://www.sismologia.cl/sismicidad/informes/2023/06/199609.html
2023-06-05,15:24:54,15:00 - 16:00,Central Hours,2.9,Ml,<3,160,intermediate,13 km al S de Visviri,-17.714,-69.507,https://www.sismologia.cl/sismicidad/informes/2023/06/199602.html
2023-06-05,14:23:43,14:00 - 15:00,Central Hours,3.2,Ml,3-3.9,106,intermediate,32 km al E de Pica,-20.597,-69.044,https://www.sismologia.cl/sismicidad/informes/2023/06/199595.html
2023-06-05,12:54:51,12:00 - 13:00,Central Hours,3.8,Ml,3-3.9,83,intermediate,22 km al S de Tacna,-18.216,-70.234,https://www.sismologia.cl/sismicidad/informes/2023/06/199590.html
2023-06-05,10:54:43,10:00 - 11:00,Central Hours,3.2,Ml,3-3.9,32,shallow,33 km al SO de Huasco,-28.732,-71.362,https://www.sismologia.cl/sismicidad/informes/2023/06/199584.html
2023-06-05,10:23:19,10:00 - 11:00,Central Hours,3.2,Ml,3-3.9,109,intermediate,61 km al SO de Mina Collahuasi,-21.264,-69.02,https://www.sismologia.cl/sismicidad/informes/2023/06/199578.html
2023-06-05,10:01:37,10:00 - 11:00,Central Hours,3.0,Ml,3-3.9,101,intermediate,40 km al O de Mina Collahuasi,-20.719,-69.023,https://www.sismologia.cl/sismicidad/informes/2023/06/199576.html
2023-06-05,08:25:31,8:00 - 9:00,Central Hours,2.9,Ml,<3,134,intermediate,63 km al SE de Mina La Escondida.,-24.636,-68.581,https://www.sismologia.cl/sismicidad/informes/2023/06/199571.html
2023-06-05,08:18:44,8:00 - 9:00,Central Hours,2.8,Ml,<3,98,intermediate,48 km al SE de Sierra Gorda.,-23.128,-68.916,https://www.sismologia.cl/sismicidad/informes/2023/06/199569.html
2023-06-05,05:45:19,5:00 - 6:00,Early Hours,2.8,Ml,<3,29,shallow,19 km al SE de La Higuera,-29.666,-71.126,https://www.sismologia.cl/sismicidad/informes/2023/06/199561.html
2023-06-05,02:55:11,2:00 - 3:00,Early Hours,2.9,Ml,<3,44,shallow,33 km al NO de Taltal,-25.238,-70.758,https://www.sismologia.cl/sismicidad/informes/2023/06/199555.html
2023-06-05,02:53:33,2:00 - 3:00,Early Hours,3.1,Ml,3-3.9,24,shallow,8 km al NE de Ollagüe,-21.18,-68.199,https://www.sismologia.cl/sismicidad/informes/2023/06/199553.html
2023-06-05,02:41:22,2:00 - 3:00,Early Hours,3.5,Ml,3-3.9,20,shallow,129 km al O de Lebu,-37.973,-75.045,https://www.sismologia.cl/sismicidad/informes/2023/06/199552.html
2023-06-05,01:24:25,1:00 - 2:00,Early Hours,3.9,Ml,3-3.9,208,intermediate,106 km al SE de Socaire,-24.217,-67.11,https://www.sismologia.cl/sismicidad/informes/2023/06/199548.html
2023-06-05,00:54:12,0:00 - 1:00,Early Hours,2.8,Ml,<3,52,intermediate,14 km al O de Ovalle,-30.647,-71.339,https://www.sismologia.cl/sismicidad/informes/2023/06/199545.html
2023-06-05,00:45:14,0:00 - 1:00,Early Hours,3.6,Ml,3-3.9,220,intermediate,120 km al SE de Socaire,-24.122,-66.864,https://www.sismologia.cl/sismicidad/informes/2023/06/199544.html
2023-06-05,00:04:49,0:00 - 1:00,Early Hours,3.2,Ml,3-3.9,89,intermediate,42 km al S de Alto del Carmen,-29.127,-70.597,https://www.sismologia.cl/sismicidad/informes/2023/06/199539.html
2023-06-05,22:51:34,22:00 - 23:00,Later Hours,2.6,Ml,<3,8,shallow,30 km al O de Tocopilla,-22.132,-70.493,https://www.sismologia.cl/sismicidad/informes/2023/06/199536.html
2023-06-05,21:23:55,21:00 - 22:00,Later Hours,2.5,Ml,<3,38,shallow,70 km al O de Cobquecura,-36.094,-73.571,https://www.sismologia.cl/sismicidad/informes/2023/06/199531.html
2023-06-05,21:11:42,21:00 - 22:00,Later Hours,2.9,Ml,<3,83,intermediate,19 km al S de Salamanca,-31.945,-71.033,https://www.sismologia.cl/sismicidad/informes/2023/06/199528.html
2023-06-05,21:10:10,21:00 - 22:00,Later Hours,2.7,Ml,<3,46,shallow,45 km al O de Punitaqui,-30.884,-71.723,https://www.sismologia.cl/sismicidad/informes/2023/06/199527.html
2023-06-05,20:31:40,20:00 - 21:00,Later Hours,3.0,Ml,3-3.9,97,intermediate,1 km al O de Calama,-22.471,-68.944,https://www.sismologia.cl/sismicidad/informes/2023/06/199523.html
2023-06-05,20:01:19,20:00 - 21:00,Later Hours,3.4,Ml,3-3.9,150,intermediate,55 km al SO de Ollagüe,-21.538,-68.665,https://www.sismologia.cl/sismicidad/informes/2023/06/199517.html
2023-06-04,19:24:59,19:00 - 20:00,Later Hours,2.9,Ml,<3,99,intermediate,50 km al SO de San Pedro de Atacama,-23.114,-68.642,https://www.sismologia.cl/sismicidad/informes/2023/06/199513.html
2023-06-04,19:21:49,19:00 - 20:00,Later Hours,2.7,Ml,<3,110,intermediate,56 km al NE de El Salvador,-25.824,-69.312,https://www.sismologia.cl/sismicidad/informes/2023/06/199512.html
2023-06-04,17:46:34,17:00 - 18:00,Later Hours,3.8,Ml,3-3.9,111,intermediate,29 km al O de Mina Collahuasi,-20.722,-68.917,https://www.sismologia.cl/sismicidad/informes/2023/06/199507.html
2023-06-04,17:25:36,17:00 - 18:00,Later Hours,3.1,Ml,3-3.9,106,intermediate,28 km al E de Calama,-22.435,-68.659,https://www.sismologia.cl/sismicidad/informes/2023/06/199506.html
2023-06-04,14:09:03,14:00 - 15:00,Central Hours,3.9,Ml,3-3.9,112,intermediate,7 km al E de Pica,-20.466,-69.264,https://www.sismologia.cl/sismicidad/informes/2023/06/199492.html
2023-06-04,13:23:10,13:00 - 14:00,Central Hours,2.8,Ml,<3,40,shallow,31 km al SO de Los Vilos,-32.069,-71.787,https://www.sismologia.cl/sismicidad/informes/2023/06/199489.html
2023-06-04,13:07:41,13:00 - 14:00,Central Hours,3.1,Ml,3-3.9,20,shallow,33 km al NO de Pisagua,-19.369,-70.421,https://www.sismologia.cl/sismicidad/informes/2023/06/199486.html
2023-06-04,12:02:29,12:00 - 13:00,Central Hours,3.9,Ml,3-3.9,63,intermediate,9 km al NO de Punitaqui,-30.761,-71.306,https://www.sismologia.cl/sismicidad/informes/2023/06/199482.html
2023-06-04,11:26:38,11:00 - 12:00,Central Hours,3.1,Ml,3-3.9,51,intermediate,52 km al O de La Higuera,-29.507,-71.737,https://www.sismologia.cl/sismicidad/informes/2023/06/199478.html
2023-06-04,09:30:07,9:00 - 10:00,Central Hours,3.0,Ml,3-3.9,36,shallow,16 km al SO de Baquedano,-23.434,-69.956,https://www.sismologia.cl/sismicidad/informes/2023/06/199473.html
2023-06-04,08:05:01,8:00 - 9:00,Central Hours,2.8,Ml,<3,63,intermediate,24 km al O de La Ligua,-32.453,-71.485,https://www.sismologia.cl/sismicidad/informes/2023/06/199466.html
2023-06-04,06:05:27,6:00 - 7:00,Early Hours,3.0,Ml,3-3.9,88,intermediate,16 km al O de Camiña,-19.339,-69.576,https://www.sismologia.cl/sismicidad/informes/2023/06/199459.html
2023-06-04,04:45:03,4:00 - 5:00,Early Hours,4.0,Ml,4-4.9,22,shallow,18 km al NE de Mejillones,-22.971,-70.34,https://www.sismologia.cl/sismicidad/informes/2023/06/199452.html
2023-06-04,03:30:43,3:00 - 4:00,Early Hours,4.3,Mw,4-4.9,76,intermediate,17 km al N de Vallenar,-28.419,-70.778,https://www.sismologia.cl/sismicidad/informes/2023/06/199450.html
2023-06-04,02:13:47,2:00 - 3:00,Early Hours,2.9,Ml,<3,73,intermediate,28 km al SE de Cuya,-19.261,-69.939,https://www.sismologia.cl/sismicidad/informes/2023/06/199446.html
2023-06-04,02:05:28,2:00 - 3:00,Early Hours,4.6,Mw,4-4.9,135,intermediate,12 km al O de Socaire,-23.571,-68.007,https://www.sismologia.cl/sismicidad/informes/2023/06/199444.html
2023-06-04,01:46:12,1:00 - 2:00,Early Hours,2.7,Ml,<3,85,intermediate,8 km al NE de Sierra Gorda.,-22.835,-69.273,https://www.sismologia.cl/sismicidad/informes/2023/06/199442.html
